Resultados de la Detección de Pupilas
-------------------------------------
Fecha y Hora: 2025-02-17 11:04:29
Tiempo total de ejecución: 2 minutos y 54 segundos
Total de Parpadeos Detectados: 0
Interrupciones Detectadas: 1
Fijaciones Detectadas: 0
-------------------------------------

Posiciones de la Pupila:
  317: X = 368, Y = 259
  318: X = 368, Y = 261
  319: X = 368, Y = 261
  320: X = 369, Y = 261
  321: X = 369, Y = 261
  322: X = 369, Y = 261
  323: X = 369, Y = 261
  324: X = 369, Y = 263
  325: X = 369, Y = 263
  326: X = 370, Y = 263
  327: X = 370, Y = 263
  328: X = 372, Y = 261
  329: X = 372, Y = 261
  330: X = 374, Y = 261
  331: X = 374, Y = 261
  332: X = 375, Y = 261
  333: X = 375, Y = 261
  334: X = 377, Y = 261
  335: X = 377, Y = 261
  336: X = 378, Y = 261
  337: X = 378, Y = 261
  338: X = 378, Y = 261
  339: X = 380, Y = 261
  340: X = 380, Y = 261
  341: X = 379, Y = 261
  342: X = 379, Y = 261
  343: X = 378, Y = 261
  344: X = 378, Y = 261
  345: X = 377, Y = 260
  346: X = 377, Y = 260
  347: X = 377, Y = 260
  348: X = 377, Y = 260
  349: X = 377, Y = 261
  350: X = 377, Y = 261
  351: X = 376, Y = 261
  352: X = 376, Y = 261
  353: X = 377, Y = 261
  354: X = 377, Y = 261
  355: X = 377, Y = 261
  356: X = 377, Y = 261
  357: X = 378, Y = 262
  358: X = 378, Y = 262
  359: X = 377, Y = 262
  360: X = 377, Y = 262
  361: X = 377, Y = 262
  362: X = 378, Y = 261
  363: X = 378, Y = 261
  364: X = 378, Y = 262
  365: X = 378, Y = 262
  366: X = 378, Y = 262
  367: X = 378, Y = 262
  368: X = 378, Y = 262
  369: X = 378, Y = 262
  370: X = 378, Y = 262
  371: X = 378, Y = 262
  372: X = 378, Y = 261
  373: X = 378, Y = 261
  374: X = 377, Y = 261
  375: X = 377, Y = 261
  376: X = 378, Y = 262
  377: X = 378, Y = 262
  378: X = 378, Y = 262
  379: X = 378, Y = 262
  380: X = 378, Y = 262
  381: X = 378, Y = 262
  382: X = 378, Y = 262
  383: X = 378, Y = 262
  384: X = 378, Y = 262
  385: X = 378, Y = 262
  386: X = 378, Y = 262
  387: X = 378, Y = 262
  388: X = 378, Y = 262
  389: X = 378, Y = 261
  390: X = 378, Y = 261
  391: X = 377, Y = 260
  392: X = 377, Y = 260
  393: X = 377, Y = 260
  394: X = 377, Y = 261
  395: X = 377, Y = 261
  396: X = 377, Y = 260
  397: X = 377, Y = 260
  398: X = 376, Y = 260
  399: X = 376, Y = 260
  400: X = 376, Y = 260
  401: X = 376, Y = 260
  402: X = 377, Y = 260
  403: X = 377, Y = 260
  404: X = 377, Y = 260
  405: X = 377, Y = 260
  406: X = 377, Y = 260
  407: X = 377, Y = 260
  408: X = 376, Y = 260
  409: X = 376, Y = 260
  410: X = 376, Y = 260
  411: X = 376, Y = 260
  412: X = 376, Y = 260
  413: X = 376, Y = 260
  414: X = 376, Y = 260
  415: X = 376, Y = 260
  416: X = 376, Y = 260
  417: X = 376, Y = 260
  418: X = 376, Y = 260
  419: X = 376, Y = 260
  420: X = 376, Y = 260
  421: X = 377, Y = 260
  422: X = 377, Y = 260
  423: X = 377, Y = 260
  424: X = 377, Y = 260
  425: X = 376, Y = 259
  426: X = 376, Y = 259
  427: X = 376, Y = 259
  428: X = 376, Y = 259
  429: X = 377, Y = 260
  430: X = 377, Y = 260
  431: X = 377, Y = 260
  432: X = 376, Y = 259
  433: X = 376, Y = 259
  434: X = 376, Y = 259
  435: X = 376, Y = 259
  436: X = 376, Y = 259
  437: X = 376, Y = 259
  438: X = 376, Y = 259
  439: X = 376, Y = 259
  440: X = 376, Y = 259
  441: X = 376, Y = 259
  442: X = 376, Y = 259
  443: X = 376, Y = 259
  444: X = 376, Y = 259
  445: X = 376, Y = 259
  446: X = 376, Y = 259
  447: X = 376, Y = 260
  448: X = 376, Y = 260
  449: X = 376, Y = 260
  450: X = 376, Y = 260
  451: X = 376, Y = 259
  452: X = 376, Y = 259
  453: X = 377, Y = 259
  454: X = 377, Y = 259
  455: X = 376, Y = 259
  456: X = 376, Y = 259
  457: X = 376, Y = 259
  458: X = 376, Y = 259
  459: X = 376, Y = 259
  460: X = 376, Y = 259
  461: X = 376, Y = 259
  462: X = 376, Y = 259
  463: X = 377, Y = 259
  464: X = 377, Y = 259
  465: X = 377, Y = 259
  466: X = 377, Y = 259
  467: X = 377, Y = 259
  468: X = 376, Y = 259
  469: X = 376, Y = 259
  470: X = 377, Y = 259
  471: X = 377, Y = 259
  472: X = 377, Y = 259
  473: X = 377, Y = 259
  474: X = 377, Y = 259
  475: X = 377, Y = 259
  476: X = 377, Y = 259
  477: X = 377, Y = 259
  478: X = 377, Y = 259
  479: X = 377, Y = 259
  480: X = 377, Y = 259
  481: X = 377, Y = 259
  482: X = 377, Y = 258
  483: X = 377, Y = 258
  484: X = 377, Y = 258
  485: X = 377, Y = 259
  486: X = 377, Y = 259
  487: X = 377, Y = 259
  488: X = 377, Y = 259
  489: X = 377, Y = 259
  490: X = 377, Y = 259
  491: X = 377, Y = 259
  492: X = 377, Y = 259
  493: X = 377, Y = 258
  494: X = 377, Y = 258
  495: X = 377, Y = 258
  496: X = 377, Y = 258
  497: X = 377, Y = 257
  498: X = 377, Y = 257
  499: X = 377, Y = 258
  500: X = 377, Y = 258
  501: X = 377, Y = 258
  502: X = 378, Y = 258
  503: X = 378, Y = 258
  504: X = 377, Y = 258
  505: X = 377, Y = 258
  506: X = 377, Y = 258
  507: X = 377, Y = 258
  508: X = 377, Y = 258
  509: X = 377, Y = 258
  510: X = 377, Y = 258
  511: X = 377, Y = 258
  512: X = 377, Y = 258
  513: X = 377, Y = 258
  514: X = 378, Y = 258
  515: X = 378, Y = 258
  516: X = 378, Y = 258
  517: X = 378, Y = 258
  518: X = 378, Y = 258
  519: X = 378, Y = 258
  520: X = 378, Y = 258
  521: X = 378, Y = 258
  522: X = 378, Y = 258
  523: X = 378, Y = 258
  524: X = 378, Y = 258
  525: X = 379, Y = 258
  526: X = 379, Y = 258
  527: X = 379, Y = 258
  528: X = 379, Y = 258
  529: X = 379, Y = 258
  530: X = 379, Y = 258
  531: X = 379, Y = 258
  532: X = 379, Y = 258
  533: X = 379, Y = 258
  534: X = 379, Y = 258
  535: X = 379, Y = 258
  536: X = 379, Y = 258
  537: X = 379, Y = 258
  538: X = 379, Y = 258
  539: X = 379, Y = 258
  540: X = 379, Y = 258
  541: X = 380, Y = 257
  542: X = 380, Y = 257
  543: X = 380, Y = 258
  544: X = 380, Y = 258
  545: X = 380, Y = 258
  546: X = 380, Y = 257
  547: X = 380, Y = 257
  548: X = 380, Y = 257
  549: X = 380, Y = 257
  550: X = 380, Y = 257
  551: X = 380, Y = 257
  552: X = 380, Y = 257
  553: X = 380, Y = 257
  554: X = 380, Y = 257
  555: X = 380, Y = 257
  556: X = 380, Y = 257
  557: X = 380, Y = 257
  558: X = 380, Y = 257
  559: X = 380, Y = 257
  560: X = 380, Y = 257
  561: X = 379, Y = 257
  562: X = 379, Y = 257
  563: X = 379, Y = 257
  564: X = 379, Y = 257
  565: X = 379, Y = 257
  566: X = 379, Y = 257
  567: X = 379, Y = 257
  568: X = 379, Y = 257
  569: X = 379, Y = 257
  570: X = 379, Y = 257
  571: X = 379, Y = 257
  572: X = 379, Y = 257
  573: X = 379, Y = 257
  574: X = 379, Y = 257
  575: X = 380, Y = 257
  576: X = 380, Y = 257
  577: X = 380, Y = 257
  578: X = 380, Y = 257
  579: X = 380, Y = 257
  580: X = 380, Y = 257
  581: X = 380, Y = 257
  582: X = 379, Y = 257
  583: X = 379, Y = 257
  584: X = 379, Y = 257
  585: X = 379, Y = 257
  586: X = 379, Y = 257
  587: X = 379, Y = 257
  588: X = 379, Y = 257
  589: X = 379, Y = 257
  590: X = 379, Y = 257
  591: X = 379, Y = 257
  592: X = 379, Y = 257
  593: X = 379, Y = 257
  594: X = 379, Y = 257
  595: X = 379, Y = 257
  596: X = 379, Y = 257
  597: X = 379, Y = 257
  598: X = 379, Y = 257
  599: X = 379, Y = 257
  600: X = 379, Y = 257
  601: X = 380, Y = 257
  602: X = 380, Y = 257
  603: X = 380, Y = 257
  604: X = 380, Y = 257
  605: X = 380, Y = 257
  606: X = 380, Y = 257
  607: X = 380, Y = 257
  608: X = 380, Y = 257
  609: X = 380, Y = 257
  610: X = 380, Y = 257
  611: X = 381, Y = 258
  612: X = 381, Y = 258
  613: X = 381, Y = 258
  614: X = 381, Y = 258
  615: X = 381, Y = 258
  616: X = 381, Y = 258
  617: X = 381, Y = 258
  618: X = 381, Y = 257
  619: X = 381, Y = 257
  620: X = 381, Y = 257
  621: X = 381, Y = 257
  622: X = 381, Y = 257
  623: X = 381, Y = 257
  624: X = 381, Y = 258
  625: X = 381, Y = 258
  626: X = 382, Y = 257
  627: X = 382, Y = 257
  628: X = 382, Y = 258
  629: X = 382, Y = 258
  630: X = 382, Y = 258
  631: X = 382, Y = 258
  632: X = 382, Y = 257
  633: X = 382, Y = 257
  634: X = 382, Y = 257
  635: X = 382, Y = 257
  636: X = 382, Y = 257
  637: X = 382, Y = 257
  638: X = 382, Y = 257
  639: X = 382, Y = 257
  640: X = 381, Y = 257
  641: X = 381, Y = 257
  642: X = 381, Y = 257
  643: X = 381, Y = 257
  644: X = 381, Y = 257
  645: X = 381, Y = 257
  646: X = 381, Y = 257
  647: X = 381, Y = 257
  648: X = 380, Y = 256
  649: X = 380, Y = 256
  650: X = 380, Y = 256
  651: X = 380, Y = 257
  652: X = 380, Y = 257
  653: X = 380, Y = 256
  654: X = 380, Y = 256
  655: X = 379, Y = 256
  656: X = 379, Y = 256
  657: X = 379, Y = 256
  658: X = 379, Y = 256
  659: X = 379, Y = 256
  660: X = 379, Y = 256
  661: X = 379, Y = 256
  662: X = 379, Y = 256
  663: X = 379, Y = 257
  664: X = 379, Y = 257
  665: X = 380, Y = 257
  666: X = 380, Y = 257
  667: X = 380, Y = 257
  668: X = 380, Y = 257
  669: X = 380, Y = 257
  670: X = 380, Y = 256
  671: X = 380, Y = 256
  672: X = 380, Y = 256
  673: X = 380, Y = 256
  674: X = 380, Y = 256
  675: X = 380, Y = 256
  676: X = 380, Y = 256
  677: X = 380, Y = 256
  678: X = 380, Y = 256
  679: X = 380, Y = 256
  680: X = 380, Y = 256
  681: X = 380, Y = 256
  682: X = 380, Y = 256
  683: X = 380, Y = 256
  684: X = 380, Y = 256
  685: X = 380, Y = 256
  686: X = 380, Y = 256
  687: X = 380, Y = 256
  688: X = 380, Y = 256
  689: X = 380, Y = 256
  690: X = 380, Y = 256
  691: X = 381, Y = 256
  692: X = 381, Y = 256
  693: X = 381, Y = 257
  694: X = 381, Y = 257
  695: X = 380, Y = 257
  696: X = 380, Y = 257
  697: X = 379, Y = 256
  698: X = 379, Y = 256
  699: X = 379, Y = 256
  700: X = 379, Y = 256
  701: X = 380, Y = 256
  702: X = 380, Y = 256
  703: X = 380, Y = 256
  704: X = 380, Y = 256
  705: X = 380, Y = 256
  706: X = 380, Y = 256
  707: X = 380, Y = 256
  708: X = 380, Y = 256
  709: X = 380, Y = 256
  710: X = 380, Y = 256
  711: X = 380, Y = 256
  712: X = 380, Y = 256
  713: X = 380, Y = 256
  714: X = 381, Y = 256
  715: X = 381, Y = 256
  716: X = 381, Y = 256
  717: X = 381, Y = 256
  718: X = 381, Y = 255
  719: X = 381, Y = 255
  720: X = 382, Y = 256
  721: X = 382, Y = 256
  722: X = 382, Y = 256
  723: X = 382, Y = 256
  724: X = 378, Y = 257
  725: X = 378, Y = 257
  726: X = 369, Y = 258
  727: X = 369, Y = 258
  728: X = 369, Y = 258
  729: X = 369, Y = 259
  730: X = 369, Y = 259
  731: X = 368, Y = 258
  732: X = 368, Y = 258
  733: X = 368, Y = 258
  734: X = 368, Y = 258
  735: X = 368, Y = 258
  736: X = 368, Y = 258
  737: X = 368, Y = 258
  738: X = 368, Y = 258
  739: X = 367, Y = 258
  740: X = 367, Y = 258
  741: X = 367, Y = 258
  742: X = 367, Y = 258
  743: X = 367, Y = 258
  744: X = 367, Y = 258
  745: X = 367, Y = 258
  746: X = 367, Y = 258
  747: X = 367, Y = 258
  748: X = 367, Y = 258
  749: X = 367, Y = 258
  750: X = 367, Y = 258
  751: X = 367, Y = 258
  752: X = 368, Y = 258
